id,content
chunk-001,"Aspirin is a non-steroidal anti-inflammatory drug (NSAID) that inhibits cyclooxygenase (COX-1 and COX-2), reducing prostaglandin synthesis and thereby decreasing inflammation, pain, and fever."
chunk-002,"The acute inflammatory response is characterized by five cardinal signs: redness (rubor), heat (calor), swelling (tumor), pain (dolor), and loss of function (functio laesa). Mediators include histamine, bradykinin, and prostaglandins."
chunk-003,"Edema results from increased vascular permeability allowing plasma proteins and fluid to leak into the interstitial space. It is a hallmark of acute inflammation."
chunk-004,"Paracetamol (acetaminophen) lowers fever and relieves mild-to-moderate pain by acting centrally on the hypothalamic heat-regulating center. Unlike NSAIDs, it has weak peripheral anti-inflammatory activity."
chunk-005,"Cytokines such as TNF-alpha, IL-1, and IL-6 are central drivers of the systemic inflammatory response and the acute-phase reaction, including fever and leukocytosis."
chunk-006,"Corticosteroids suppress inflammation by inhibiting phospholipase A2, decreasing arachidonic acid release, and downregulating pro-inflammatory cytokine transcription."
chunk-007,"Erythema is the redness of skin or mucous membranes caused by hyperemia of superficial capillaries; it is a common sign of cutaneous inflammation."
chunk-008,"Histamine, released from mast cells during allergic and inflammatory reactions, increases vascular permeability and causes vasodilation in postcapillary venules."
chunk-009,"Myocardial infarction occurs when coronary blood flow is interrupted, most commonly by atherosclerotic plaque rupture and thrombus formation, leading to ischemic necrosis of myocardium."
chunk-010,"Chronic inflammation is dominated by macrophages, lymphocytes, and plasma cells. It is associated with tissue destruction and concomitant repair by fibrosis and angiogenesis."
chunk-011,"Ibuprofen, a propionic acid derivative NSAID, reversibly inhibits both COX-1 and COX-2 and is widely used for inflammation, pain, and fever in adults and children."
chunk-012,"The complement cascade contributes to inflammation through anaphylatoxins (C3a, C5a), which cause mast-cell degranulation, smooth-muscle contraction, and leukocyte chemotaxis."
chunk-013,"Neutrophils are the first leukocytes recruited to sites of acute bacterial infection; they phagocytose pathogens and release reactive oxygen species and proteases."
chunk-014,"Asthma is a chronic inflammatory airway disease characterized by bronchial hyper-responsiveness, eosinophilic infiltration, and reversible airflow obstruction."
chunk-015,"Resolution of inflammation requires apoptosis of neutrophils, efferocytosis by macrophages, and the action of specialized pro-resolving mediators such as resolvins and protectins."
